"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25024_001E","Estimate!!Total:"
"B25024_001M","Margin of Error!!Total:"
"B25024_002E","Estimate!!Total:!!1, detached"
"B25024_002M","Margin of Error!!Total:!!1, detached"
"B25024_003E","Estimate!!Total:!!1, attached"
"B25024_003M","Margin of Error!!Total:!!1, attached"
"B25024_004E","Estimate!!Total:!!2"
"B25024_004M","Margin of Error!!Total:!!2"
"B25024_005E","Estimate!!Total:!!3 or 4"
"B25024_005M","Margin of Error!!Total:!!3 or 4"
"B25024_006E","Estimate!!Total:!!5 to 9"
"B25024_006M","Margin of Error!!Total:!!5 to 9"
"B25024_007E","Estimate!!Total:!!10 to 19"
"B25024_007M","Margin of Error!!Total:!!10 to 19"
"B25024_008E","Estimate!!Total:!!20 to 49"
"B25024_008M","Margin of Error!!Total:!!20 to 49"
"B25024_009E","Estimate!!Total:!!50 or more"
"B25024_009M","Margin of Error!!Total:!!50 or more"
"B25024_010E","Estimate!!Total:!!Mobile home"
"B25024_010M","Margin of Error!!Total:!!Mobile home"
"B25024_011E","Estimate!!Total:!!Boat, RV, van, etc."
"B25024_011M","Margin of Error!!Total:!!Boat, RV, van, etc."
