State,Date Announced,Site,Funding Round,Status,Amount,Partner/Charger,Address,X,Y,Streetview,,,Charger Network/Awardee,Total funds
OH,7/13/2023,Pilot Travel Center,1,,"$656,177",EVgo,"6141 US-127, Eaton, OH 45320",,,,,,EVgo,"$16,187,855.00"
OH,7/13/2023,Pilot Travel Center,1,,"$690,599",EVgo,"10480 Baltimore Rd SW, Millersport, OH 43046",,,,,,Francis Energy,"$39,073,244.56"
OH,7/13/2023,Best Western,1,,"$733,044",Francis Energy,"4929 E Pike, Zanesville, OH 43701",,,,,,ABB E-Mobility,"$177,924.00"
OH,7/13/2023,Pilot Travel Center,1,,"$677,865",EVgo,"44133 Fairground Rd, Caldwell, OH 43724",,,,,,Tritium,$0.00
OH,7/13/2023,Meijer,1,,"$744,366",EVgo,"219 Tallmadge Rd Kent, OH 44240",,,,,,Shell,"$7,472,238.86"
OH,7/13/2023,Francis Energy/Shoppes on Bluebell,1,,"$730,165",Francis Energy,"125 Bluebell Dr SW, New Philadelphia, OH 44663",,,,,,Tesla,"$21,998,872.71"
OH,7/13/2023,Casey's Gas & Convenience,1,,"$730,194",Francis Energy,"100 S Dixie Hwy, Cridersville, OH 45806",,,,,,Maine Coast Mall,"$857,142.86"
OH,7/13/2023,Dollar General,1,,"$742,907",Francis Energy,"205 Main St, Byesville, OH 43723",,,,,,Midcoast Regional Redevelopment Authority,"$857,142.86"
OH,7/13/2023,Pilot Travel Center,1,,"$677,618",EVgo,"2320 Faircrest St SW, Canton, OH 44706",,,,,,D&C Properties,"$857,142.86"
OH,7/13/2023,Meijer,1,,"$737,883",EVgo,"1900 W Main St, Troy, OH 45373",,,,,,Irving Oil,"$857,142.86"
OH,7/13/2023,Pilot Travel Center,1,,"$658,983",EVgo,"66377 Belmont Morristown Rd, Belmont, OH 43718",,,,,,EV Connect,"$1,190,000.00"
OH,7/13/2023,Meijer,1,,"$751,493",EVgo,"7390 Tylersville Rd, West Chester Township, OH 45069",,,,,,ChargePoint,"$7,809,000.00"
OH,7/13/2023,Pilot Travel Center,1,,"$663,535",EVgo,"9935 State Rte 41, Jeffersonville, OH 43128",,,,,,Circle K,"$3,785,531.00"
OH,7/13/2023,Pilot Travel Center,1,,"$671,170",EVgo,"488 State Rte 61, Marengo, OH 43334",,,,,,TBD,"$445,000.00"
